,Цена,Латитуда,Лонгитуда,Марка,Модел,Година,Гориво,Менувач,Каросерија,Боја,Регистрација,Регистриранадо,Силанамоторот,Kласанаемисија,Километри
0,999€,41.924335,22.404964,VWVolkswagen,Golf,1981,Бензин,Рачен,Хеџбек,Црна,Македонска,012021,82kw/111ks,Еуро1,
1,5700€,41.9870695865131,21.4519291484375,Audi,Allroad,2007,Дизел,Автоматски,Каравани,Сина,Странска,012021,233kw/317ks,Еуро4,300000
2,1МКД,41.993825,21.436139,Seat,Leon,2007,Дизел,Рачен,Хеџбек,Црвена,Македонска,022021,1kw/1ks,Еуро4,190000
3,3450€,42.205478,22.333429,Mercedes-Benz,A160,2007,Дизел,Автоматски,Maлиградски,Сива,Македонска,012021,60kw/82ks,Еуро4,190000
4,4000€,41.635743,22.470056,Toyota,Avensis,2006,Дизел,Рачен,Каравани,Сива,Македонска,082020,124kw/169ks,Еуро4,200000
5,9500€,42.132926,21.715878,VWVolkswagen,Golf,2012,Дизел,Рачен,Каравани,Златна,Македонска,102021,66kw/90ks,Останато,170000
6,5800€,42.205478,22.333429,VWVolkswagen,Passat,2009,Дизел,Рачен,Каравани,Црна,Македонска,012021,81kw/110ks,Еуро5,180000
7,6850€,42.205478,22.333429,Toyota,RAV4,2008,Дизел,Рачен,Теренци-SUV,Сива,Македонска,022020,101kw/137ks,Еуро5,190000
8,1€,41.715954,21.770997,Citroen,Xsara,1999,Дизел,Рачен,Седани,Сина,Македонска,052021,51kw/69ks,Еуро4,250000
9,1€,41.9870695865131,21.4519291484375,Opel,Vectra,2000,Дизел,Рачен,Седани,Сива,Македонска,072021,74kw/101ks,Еуро3,170000
10,1€,41.715954,21.770997,BMW,330,2006,Дизел,Рачен,Каравани,Црна,Македонска,102020,170kw/231ks,Еуро4,250000
11,По договор,41.865485,21.940845,Audi,A4,2010,Дизел,Автоматски,Каравани,Сива,Македонска,102021,99kw/135ks,Еуро5,200000
12,1111111€,41.924335,22.404964,Volvo,S80,2000,Дизел,Рачен,Седани,Црна,Странска,012019,104kw/141ks,,
13,2900€,41.9870695865131,21.4519291484375,BMW,X5,2012,Дизел,Автоматски,Теренци-SUV,Црна,Македонска,102021,150kw/204ks,Еуро5,85000
14,6€,41.957383831783,21.5281391143799,BMW,320,2007,Дизел,Рачен,Седани,Сива,Македонска,122021,120kw/163ks,Еуро4,190000
15,20€,42.132926,21.715878,Opel,Corsa,2006,Бензин/Плин,Рачен,Maлиградски,Црна,Македонска,042021,68kw/92ks,Еуро4,5000
16,8500€,41.9870695865131,21.4519291484375,BMW,530,2005,Дизел,Автоматски,Седани,Црна,Македонска,122020,160kw/218ks,Останато,300000
17,1200МКД,41.9870695865131,21.4519291484375,Ford,Ka,2018,Дизел,Полуавтоматски,Теренци-SUV,Црвена,Странска,062022,38kw/52ks,Еуро4,
18,3600€,41.484224,22.089622,Renault,Scenic,2007,Дизел,Рачен,Моноволумен,Сива,Македонска,112021,96kw/131ks,Еуро4,200000
19,2000€,41.924335,22.404964,BMW,530,2001,Дизел,Автоматски,Седани,Сива,Македонска,012019,134kw/182ks,Еуро3,190000
20,3100€,41.9870695865131,21.4519291484375,Toyota,Aygo,2006,Дизел,Рачен,Maлиградски,Црна,Македонска,122021,40kw/54ks,Еуро5,150000
21,4€,42.00877,21.45126,Fiat,Punto,2010,Дизел,Рачен,Maлиградски,Црна,Македонска,112020,70kw/95ks,Еуро5,180000
22,4700€,42.009423,20.971549,Hyundai,SantaFe,2007,Дизел,Рачен,Хеџбек,Бела,Странска,012020,110kw/150ks,Еуро4,130000
23,1МКД,41.9870695865131,21.4519291484375,Seat,Leon,2007,Дизел,Рачен,Хеџбек,Црвена,Македонска,032021,1kw/1ks,Еуро4,190000
24,1€,41.801881,20.913259,Opel,Signum,2004,Дизел,Автоматски,Хеџбек,Црна,Македонска,082021,175kw/238ks,Еуро4,250000
25,1€,41.9870695865131,21.4519291484375,LandRover,RangeRoverSport,2006,Дизел,Автоматски,Теренци-SUV,Црна,Странска,012021,140kw/190ks,Еуро4,190000
26,3000€,41.111733,20.798579,Audi,A3,2003,Бензин,Рачен,Maлиградски,Сива,Македонска,112021,150kw/204ks,Еуро4,
27,2300€,41.9870695865131,21.4519291484375,AlfaRomeo,Alfa147,2007,Дизел,Рачен,Хеџбек,Сива,Македонска,072021,110kw/150ks,Еуро4,180000
28,1€,42.132926,21.715878,Mercedes-Benz,A170,2002,Дизел,Рачен,Maлиградски,Сива,Странска,102020,90kw/122ks,Еуро5,140000
29,60€,42.132926,21.715878,Mercedes-Benz,A170,2002,Дизел,Рачен,Maлиградски,Сива,Странска,122021,50kw/68ks,Еуро5,150000
30,5€,41.9870695865131,21.4519291484375,VWVolkswagen,Golf,2008,Дизел,Рачен,Хеџбек,Црна,Македонска,122020,77kw/105ks,Еуро4,190000
31,3200€,41.9870695865131,21.4519291484375,Renault,Megane,2005,Бензин,Рачен,Кабриолети,Црна,Македонска,062020,100kw/136ks,Останато,160000
32,1€,42.00877,21.45126,Audi,A4,2011,Дизел,Рачен,Каравани,Сива,Македонска,012021,105kw/143ks,Еуро5,170000
33,123€,41.9672284372052,21.550133228302,Ford,Fiesta,2007,Дизел,Рачен,Хеџбек,,Македонска,102020,50kw/68ks,Еуро4,110000
34,По договор,42.205478,22.333429,Seat,Leon,2006,Дизел,Рачен,Хеџбек,Црна,Македонска,082021,77kw/105ks,Еуро4,160000
35,1€,41.9870695865131,21.4519291484375,LandRover,RangeRoverSport,2006,Дизел,Автоматски,Теренци-SUV,Сива,Македонска,012021,140kw/190ks,Еуро4,190000
36,1€,41.9870695865131,21.4519291484375,Opel,Vectra,1998,Дизел,Рачен,Седани,Сива,Македонска,012021,77kw/105ks,Еуро5,200000
