,Цена,Латитуда,Лонгитуда,Марка,Модел,Година,Гориво,Километри,Менувач,Каросерија,Боја,Регистрација,Регистриранадо,Силанамоторот,Kласанаемисија
0,По договор,41.9870695865131,21.4519291484375,VWVolkswagen,Touran,2005,Дизел,200000,Автоматски,Каравани,Црна,Македонска,122020,140kw/190ks,
1,1€,41.9870695865131,21.4519291484375,VWVolkswagen,Polo,2010,Дизел,200000,Рачен,Maлиградски,Бела,Странска,012019,55kw/75ks,
2,11900€,41.924335,22.404964,VWVolkswagen,Passat,2012,Дизел,190000,Рачен,Седани,Црна,Македонска,122019,103kw/140ks,
3,4000€,41.9870695865131,21.4519291484375,BMW,320,2002,Дизел,250000,Рачен,Седани,Сива,Македонска,082020,110kw/150ks,
4,4800€,42.052075,21.450415,Opel,Zafira,2008,Дизел,180000,Рачен,Моноволумен,Сива,Македонска,062020,0kw/0ks,
5,3000€,41.93375,21.621843,Fiat,Panda,2006,Дизел,120000,Рачен,Maлиградски,Сина,Странска,012018,68kw/92ks,
6,8200€,41.516028,20.533415,VWVolkswagen,Passat,2007,Дизел,250000,Автоматски,Седани,Сива,Македонска,062020,125kw/170ks,
7,8787878€,41.440569,22.639528,Honda,Civic,2007,Дизел,180000,Рачен,Останато,Сина,Македонска,122020,1kw/1ks,
8,2550€,42.009423,20.971549,Opel,Astra,2004,Дизел,190000,Рачен,Хеџбек,Сива,Македонска,112020,74kw/101ks,
9,По договор,41.9870695865131,21.4519291484375,LandRover,RangeRover,2015,Дизел,180000,Автоматски,Хеџбек,Црна,Македонска,122020,292kw/397ks,
10,1200€,41.9870695865131,21.4519291484375,VWVolkswagen,T3Caravelle,1982,Дизел,,Рачен,Останато,Црвена,Македонска,092019,54kw/73ks,
11,14000МКД,41.949632,21.502494,Fiat,Uno,1994,Бензин,90000,Рачен,Maлиградски,Сина,Македонска,012018,0kw/0ks,
12,6300€,41.484224,22.089622,Mercedes-Benz,E320,2003,Дизел,250000,Автоматски,Седани,Црна,Македонска,082020,150kw/204ks,
13,1250€,41.635743,22.470056,Skoda,Felicia,2000,Дизел,300000,Рачен,Maлиградски,Бела,Македонска,032020,47kw/64ks,Еуро1
14,1600€,41.745515,22.19396,Renault,Megane,2001,Дизел,20000,Рачен,Седани,Бела,Македонска,042020,105kw/143ks,
15,6€,41.966811,22.781396,VWVolkswagen,Beetle,1980,Бензин,20000,Рачен,Хеџбек,Бела,Странска,012020,24kw/33ks,Еуро1
