,price,make,model,year,fuel,distance_in_km,transmission,type,color,registration,registered_till,HP,standard,KW,price_euros
166,29000,Yugo,55,1991,Бензин/Плин,90000,Рачен,Седани,Црвена,Македонска,12023,75,Еуро4,55,470
2472,99000,Mercedes-Benz,C180,1993,Бензин/Плин,200000,Рачен,Седани,Сина,Македонска,112021,122,Еуро3,90,1603
4077,100000,Renault,Kangoo,2000,Дизел,300000,Рачен,Каравани,Жолта,Македонска,42022,80,Еуро3,59,1619
4321,60000,Daewoo,Tico,1997,Бензин,190000,Рачен,Maлиградски,Бела,Македонска,92022,35,Еуро3,26,972
4535,32000,Ford,Mondeo,1997,Бензин/Плин,200000,Рачен,Седани,Сина,Македонска,82021,116,Еуро3,85,519
4614,35000,Yugo,45,1991,Бензин,110000,Рачен,Maлиградски,Црвена,Македонска,32022,61,Останато,45,567
4902,499999,Renault,Megane,2012,Дизел,180000,Рачен,Хеџбек,Црна,Македонска,22023,131,Еуро5,96,8095
7420,66000,Toyota,Carina,1992,Бензин,350000,Рачен,Седани,Сина,Македонска,72022,109,Еуро2,80,1069
7568,20000,Zastava,Yugo,1990,Бензин,5000,Рачен,Кабриолети,Бела,Македонска,12021,0,Еуро6,0,324
561,19000,Lada,Samara,1994,Бензин,80000,Рачен,Хеџбек,Црвена,Македонска,72021,72,Останато,53,308
590,35000,Ford,Escort,1993,Бензин/Плин,190000,Рачен,Каравани,Бела,Македонска,42022,102,Еуро2,75,567
1668,100000,Mercedes-Benz,C250,1998,Дизел,250000,Автоматски,Каравани,Бела,Македонска,112022,136,Еуро2,100,1619
1726,24500,Ford,Mondeo,1995,Бензин,190000,Рачен,Седани,Зелена,Македонска,22020,131,Еуро3,96,397
2277,36000,Daewoo,Nubira,1999,Бензин/Плин,170000,Рачен,Останато,Црвена,Македонска,12021,133,Еуро6,98,583
2317,111111,Kia,Picanto,2008,Бензин,75000,Рачен,Maлиградски,Златна,Македонска,122021,125,Еуро4,92,1799
2340,35000,Hyundai,Pony,1995,Бензин/Плин,150000,Рачен,Седани,Сива,Македонска,32020,102,Еуро2,75,567
3263,180000,Opel,Vectra,2003,Дизел,200000,Автоматски,Хеџбек,Црна,Македонска,52022,125,Еуро3,92,2915
145,31000,Daewoo,Tico,1995,Бензин,20000,Рачен,Maлиградски,Бела,Македонска,82021,38,Еуро2,28,502
549,105000,Skoda,Octavia,2001,Дизел,250000,Рачен,Седани,Сина,Македонска,112021,101,Еуро3,74,1700
844,100000,Ford,Taunus,1980,Бензин,70000,Рачен,Седани,Црвена,Македонска,12020,68,Останато,50,1619
1143,40000,Fiat,Marea,1996,Дизел,200000,Рачен,Каравани,Црвена,Македонска,112021,75,Еуро3,55,648
1199,60000,Ford,Mondeo,1995,Бензин,5000,Рачен,Maлиградски,Зелена,Македонска,112021,116,Еуро3,85,972
1515,62000,Toyota,Carina,1995,Бензин/Плин,300000,Рачен,Хеџбек,Сива,Македонска,211625,117,Еуро3,86,1004
1627,111111,Fiat,Campagnola,1986,Дизел,45000,Рачен,Теренци-SUV,Зелена,Македонска,102020,105,Еуро3,77,1799
2134,60000,Ford,Escort,1999,Бензин,130000,Рачен,Хеџбек,Зелена,Македонска,92022,88,Еуро3,65,972
2427,33000,Opel,Astra,1994,Дизел,200000,Рачен,Седани,Црвена,Македонска,32022,60,Еуро3,44,535
2736,109999,Hyundai,Accent,2006,Бензин,140000,Рачен,Хеџбек,Сива,Македонска,82022,84,Еуро4,62,1781
2772,20000,Yugo,45,1998,Бензин,200000,Рачен,Хеџбек,Зелена,Македонска,12021,45,Останато,33,324
2915,110000,Hyundai,Accent,2006,Бензин,140000,Рачен,Хеџбек,Сива,Македонска,82022,84,Еуро4,62,1781
2963,110000,Hyundai,Accent,2006,Бензин,140000,Рачен,Хеџбек,Сива,Македонска,82022,84,Еуро4,62,1781
2968,110000,Hyundai,Accent,2006,Бензин,140000,Рачен,Хеџбек,Сива,Македонска,82022,84,Еуро4,62,1781
742,20000,Suzuki,Swift,1996,Бензин,160000,Рачен,Maлиградски,Сина,Македонска,72020,61,Еуро2,45,324
1328,90000,Kia,Cerato,2005,Дизел,200000,Рачен,Хеџбек,Сива,Македонска,52021,113,Еуро3,83,1458
1349,20000,Zastava,101,1985,Бензин,130000,Рачен,Maлиградски,Бела,Македонска,82021,54,Еуро2,40,324
1484,32000,Fiat,Punto,2002,Дизел,300000,Рачен,Maлиградски,Црна,Македонска,82021,86,Останато,63,519
20,20000,Fiat,Seicento,2004,Бензин/Плин,150000,Рачен,Останато,Бела,Македонска,72021,68,Еуро3,50,324
27,100000,Fiat,Punto,2001,Бензин/Плин,200000,Рачен,Останато,Црна,Македонска,52022,60,Еуро3,44,1619
118,22000,Yugo,55,1990,Бензин/Плин,200000,Рачен,Maлиградски,Бела,Македонска,12020,54,Останато,40,357
1334,60000,VWVolkswagen,Polo,1996,Дизел,250000,Рачен,Седани,Црна,Македонска,112021,64,Останато,47,972
2306,40000,AlfaRomeo,Alfa155,1994,Бензин,150000,Рачен,Седани,Црвена,Македонска,122021,102,Еуро2,75,648
3087,24000,Peugeot,405,1993,Дизел,200000,Рачен,Каравани,Црвена,Македонска,82021,1,Еуро2,1,389
3557,35000,Zastava,Yugo,1989,Бензин/Плин,35000,Рачен,Maлиградски,Црвена,Македонска,82021,136,Еуро2,100,567
646,25000,Yugo,55,2004,Бензин/Плин,75000,Рачен,Maлиградски,Бела,Македонска,52019,75,Еуро3,55,405
1791,36000,Renault,Clio,1995,Бензин/Плин,15000,Рачен,Maлиградски,Црвена,Македонска,82020,4,Останато,3,583
1795,85000,Rover,75,2000,Дизел,160000,Рачен,Седани,Сина,Македонска,92020,3,Останато,2,1377
2172,260000,Opel,Meriva,2006,Бензин/Плин,200000,Рачен,Хеџбек,Сива,Македонска,22021,125,Еуро4,92,4210
