,Цена,Латитуда,Лонгитуда,Бројнасоби,Квадратура,Греење,Спрат,Типнастанот,Состојба,Опрема,Лифт,Бројнабалкони,Бројнабањи,Подрум,Бројнапаркинг/гаража,Ориентација
0,127000,41.9988338028115,21.3957876144028,4.0,89,Централно,9кат,ВоЗграда,Нов,Наместен,Да,1Балкон,2,Да,Гаража+2Паркингместа,Североисток
1,95000,42.009423,20.971549,6.0,135,Друго,4кат,ВоЗграда,Реновиран,Наместен,Не,1Тераса,2,Не,1Гаража,Југ
2,67500,41.9870695865131,21.4519291484375,2.0,45,Централно,6кат,ВоЗграда,Нов,Полунаместен,Да,Тераса+1Балкон,1,Не,1Паркинг,Исток
3,95000,41.9876278129915,21.4479058349152,3.0,99,Струја,Приземје,ВоЗграда,Реновиран,Празен,Да,2Балкони,1,Да,1Паркинг,Исток
4,52000,42.0600629740385,21.4500331878662,3.0,83,Струја,3кат,ВоЗграда,Реновиран,Наместен,Не,1Балкон,2,Да,Нема,Југоисток
5,72000,41.9870695865131,21.4519291484375,3.0,80,Централно,6кат,ВоЗграда,Стар,Празен,Да,Тераса+1Балкон,1,Да,Нема,Исток
6,69999,42.009423,20.971549,3.0,80,Друго,4кат,ВоЗграда,Нов,Наместен,Не,1Балкон,1,Не,1Паркинг,Запад
7,57500,42.009423,20.971549,3.0,70,Друго,4кат,ВоЗграда,Нов,Празен,Не,Нема,1,Да,1Паркинг,Југ
8,22000,41.745515,22.19396,4.0,51,Нема,Приземје,ВоЗграда,Стар,Празен,Не,1Балкон,1,Да,1Гаража,Исток
9,29000,42.013646,21.32586,1.0,33,Нема,5кат,ВоЗграда,Реновиран,Наместен,Не,1Балкон,1,Да,1Паркинг,Север
10,85000,41.978187,21.427388,3.0,66,Централно,2кат,ВоЗграда,Стар,Наместен,Не,1Балкон,1,Не,Нема,Север
11,99000,41.978187,21.427388,3.0,99,Друго,2кат,ВоЗграда,Стар,Наместен,Не,2Балкони,1,Да,1Паркинг,Југ
12,96000,42.013646,21.32586,4.0,82,Друго,2кат,ВоЗграда,Нов,Полунаместен,Не,Тераса+1Балкон,2,Не,Нема,Југ
13,199000,41.978187,21.427388,4.0,180,Централно,4кат,ВоЗграда,Нов,Празен,Да,1Балкон,2,Не,Нема,Југоисток
14,65000,41.931839,21.502835,3.0,55,Струја,Приземје,ВоЗграда,Реновиран,Полунаместен,Не,1Балкон,1,Да,Повеќеод3паркингместа,Југоисток
15,78000,41.931839,21.502835,3.0,69,Централно,1кат,ВоЗграда,Реновиран,Празен,Да,1Балкон,1,Не,1Паркинг,Југоисток
16,23000,41.14712,22.507161,2.0,52,Дрва,2кат,ВоЗграда,Реновиран,Полунаместен,Не,1Балкон,1,Да,1Паркинг,Југоисток
17,109000,41.931839,21.502835,3.0,99,Централно,1кат,ВоЗграда,Нов,Наместен,Да,1Балкон,1,Да,2Паркингместа,Југ
18,89000,41.9870695865131,21.4519291484375,3.0,88,Централно,12кат,ВоЗграда,Стар,Празен,Да,2Балкони,2,Да,1Паркинг,Североисток
19,61000,41.931839,21.502835,2.0,69,Струја,2кат,ВоЗграда,Стар,Полунаместен,Да,1Балкон,1,Да,1Паркинг,Југозапад
20,111000,41.9870695865131,21.4519291484375,4.0,126,Струја,2кат,ВоЗграда,Нов,Празен,Не,2Балкони,2,Не,1Паркинг,Југоисток
21,93000,41.9870695865131,21.4519291484375,3.0,96,Централно,4кат,ВоЗграда,Реновиран,Наместен,Да,1Балкон,2,Не,1Паркинг,Запад
22,35000,42.0097682294748,21.5064664404932,3.0,50,Струја,3кат,ВоЗграда,Реновиран,Полунаместен,Не,Нема,1,Да,1Паркинг,Север
23,65000,41.111733,20.798579,3.0,65,Струја,5кат,ВоЗграда,Нов,Празен,Да,1Тераса,1,Не,1Паркинг,Југозапад
24,51000,41.9870695865131,21.4519291484375,2.0,53,Централно,3кат,ВоЗграда,Стар,Празен,Не,1Балкон,1,Да,2Паркингместа,Северозапад
25,235000,41.9870695865131,21.4519291484375,4.0,200,Друго,4кат,ВоЗграда,Нов,Празен,Да,3Балкони,Повеќеод2,Да,Гаража+Повеќеод3паркингместа,Југ
26,122000,41.9870695865131,21.4519291484375,4.0,122,Централно,6кат,ВоЗграда,Стар,Полунаместен,Да,1Балкон,2,Не,Гаража+Повеќеод3паркингместа,Запад
27,122000,41.949632,21.502494,4.0,75,Централно,4кат,ВоЗграда,Реновиран,Празен,Да,1Балкон,2,Да,1Паркинг,Југ
28,70000,41.1099808967137,20.8090369329491,3.0,68,Струја,2кат,Вокуќа,Стар,Наместен,Не,2Балкони,1,Не,1Паркинг,Исток
29,24000,41.14712,22.507161,3.0,55,Друго,5кат,ВоЗграда,Реновиран,Празен,Не,1Балкон,1,Да,1Паркинг,Запад
30,47000,41.440569,22.639528,3.0,69,Централно,4кат,ВоЗграда,Нов,Празен,Да,1Тераса,1,Не,1Паркинг,Исток
31,127000,41.9765291545796,21.433464512229,3.0,65,Струја,1кат,Вокуќа,Реновиран,Празен,Не,Тераса+1Балкон,1,Да,1Гаража,Северозапад
32,46000,42.00877,21.45126,3.0,71,Струја,6кат,ВоЗграда,Реновиран,Наместен,Не,1Тераса,1,Да,1Паркинг,Југоисток
33,93800,41.9899742701251,21.4196969321985,2.0,67,Струја,3кат,ВоЗграда,Нов,Празен,Да,1Балкон,1,Не,Нема,Исток
34,105000,41.991502,21.39781,3.0,82,Централно,4кат,ВоЗграда,Реновиран,Празен,Да,2Балкони,2,Да,1Паркинг,Југ
35,43000,41.031728,21.329358,3.0,75,Дрва,5кат,ВоЗграда,Стар,Наместен,Не,2Балкони,1,Да,1Паркинг,Исток
36,90000,42.013646,21.32586,3.0,104,Централно,>15кат,ВоЗграда,Стар,Полунаместен,Да,1Балкон,2,Да,Повеќеод3паркингместа,Југозапад
37,95000,41.111733,20.798579,2.0,59,Струја,2кат,ВоЗграда,Нов,Наместен,Не,2Балкони,1,Не,1Паркинг,Исток
38,63550,41.111733,20.798579,2.0,41,Струја,Приземје,ВоЗграда,Нов,Луксузен,Не,1Балкон,1,Не,1Паркинг,Исток
39,78300,41.111733,20.798579,2.0,58,Нема,Приземје,ВоЗграда,Нов,Празен,Да,1Балкон,1,Не,1Паркинг,Југ
40,78000,41.9870695865131,21.4519291484375,2.0,59,Друго,6кат,ВоЗграда,Нов,Празен,Да,1Балкон,1,Не,Нема,Југ
41,65000,41.9870695865131,21.4519291484375,2.0,55,Централно,3кат,ВоЗграда,Стар,Празен,Да,2Балкони,1,Не,Нема,Југозапад
42,60000,42.00877,21.45126,3.0,67,Струја,4кат,ВоЗграда,Реновиран,Наместен,Не,1Балкон,1,Да,Повеќеод3паркингместа,Исток
43,99000,41.9870695865131,21.4519291484375,3.0,84,Струја,2кат,ВоЗграда,Реновиран,Празен,Не,2Балкони,1,Да,1Паркинг,Југ
44,100000,41.949632,21.502494,3.0,87,Централно,Приземје,ВоЗграда,Реновиран,Празен,Не,2Балкони,2,Да,Повеќеод3паркингместа,Југ
45,101000,41.931839,21.502835,4.0,107,Централно,4кат,ВоЗграда,Нов,Празен,Да,2Балкони,2,Да,Нема,Југ
46,87900,41.949632,21.502494,4.0,81,Централно,7кат,ВоЗграда,Реновиран,Празен,Да,1Балкон,1,Да,1Паркинг,Североисток
47,86000,41.978187,21.427388,3.0,86,Централно,3кат,ВоЗграда,Реновиран,Празен,Не,1Балкон,1,Не,1Паркинг,Југ
48,65000,41.9870695865131,21.4519291484375,2.0,81,Централно,5кат,ВоЗграда,Реновиран,Празен,Да,1Балкон,1,Не,Повеќеод3паркингместа,Југ
49,130000,41.931839,21.502835,4.0,98,Централно,2кат,ВоЗграда,Нов,Празен,Да,2Балкони,2,Не,Нема,Исток
50,58000,42.009423,20.971549,2.0,64,Струја,3кат,ВоЗграда,Нов,Наместен,Да,2Балкони,1,Да,1Паркинг,Југозапад
51,69900,42.009423,20.971549,3.0,64,Струја,3кат,ВоЗграда,Реновиран,Наместен,Не,1Балкон,1,Да,Нема,Југ
52,82000,41.949632,21.502494,3.0,99,Централно,5кат,ВоЗграда,Стар,Наместен,Да,3Балкони,1,Да,1Паркинг,Југ
53,52000,42.009423,20.971549,3.0,71,Струја,4кат,ВоЗграда,Реновиран,Полунаместен,Не,2Балкони,1,Да,Нема,Југоисток
54,89990,42.009423,20.971549,4.0,111,Струја,4кат,ВоЗграда,Реновиран,Наместен,Да,2Балкони,1,Да,Нема,Исток
55,51000,41.931839,21.502835,2.0,66,Струја,5кат,ВоЗграда,Стар,Празен,Не,1Тераса,1,Не,1Паркинг,Југ
56,54990,42.009423,20.971549,3.0,97,Струја,5кат,ВоЗграда,Стар,Полунаместен,Да,1Балкон,1,Да,Повеќеод3паркингместа,Североисток
57,71500,41.931839,21.502835,3.0,79,Централно,4кат,ВоЗграда,Реновиран,Полунаместен,Не,1Балкон,1,Да,Нема,Исток
58,130000,41.931839,21.502835,4.0,110,Струја,2кат,ВоЗграда,Нов,Празен,Да,2Балкони,2,Не,1Паркинг,Исток
59,74000,41.9870695865131,21.4519291484375,3.0,78,Централно,3кат,ВоЗграда,Стар,Празен,Не,2Балкони,1,Да,Нема,Исток
60,75000,41.931839,21.502835,1.0,72,Централно,1кат,ВоЗграда,Стар,Празен,Да,1Тераса,1,Не,Нема,Исток
61,60000,41.931839,21.502835,1.0,46,Централно,3кат,ВоЗграда,Реновиран,Наместен,Да,1Балкон,1,Не,1Паркинг,Североисток
62,82000,41.931839,21.502835,3.0,68,Струја,Приземје,ВоЗграда,Нов,Наместен,Да,1Балкон,2,Не,Нема,Исток
63,80000,41.9870695865131,21.4519291484375,4.0,89,Централно,3кат,ВоЗграда,Стар,Празен,Не,2Балкони,1,Да,1Паркинг,Југ
