,Цена,Латитуда,Лонгитуда,Бројнасоби,Квадратура,Греење,Спрат,Типнастанот,Состојба,Опрема,Лифт,Годинанаградба,Бројнабалкони,Бројнабањи,Подрум,Бројнапаркинг/гаража,Ориентација,Адреса,Годинанареновирање
0,127000€,41.9988338028115,21.3957876144028,4,89m²,Централно,9кат,ВоЗграда,Нов,Наместен,Да,2016,1Балкон,2,Да,Гаража+2Паркингместа,Североисток,UlPraska,
1,95000€,42.009423,20.971549,6,135m²,Друго,4кат,ВоЗграда,Реновиран,Наместен,Не,,1Тераса,2,Не,1Гаража,Југ,Centar,
2,67500€,41.9870695865131,21.4519291484375,2,45m²,Централно,6кат,ВоЗграда,Нов,Полунаместен,Да,2021,Тераса+1Балкон,1,Не,1Паркинг,Исток,,
3,95000€,41.9876278129915,21.4479058349152,3,99m²,Струја,Приземје,ВоЗграда,Реновиран,Празен,Да,,2Балкони,1,Да,1Паркинг,Исток,AnastasMitrev23,
4,52000€,42.0600629740385,21.4500331878662,3,83m²,Струја,3кат,ВоЗграда,Реновиран,Наместен,Не,1985,1Балкон,2,Да,Нема,Југоисток,УлицаРадишанска,2010
5,72000€,41.9870695865131,21.4519291484375,3,80m²,Централно,6кат,ВоЗграда,Стар,Празен,Да,1984,Тераса+1Балкон,1,Да,Нема,Исток,ВСБатобр87/1-24,
6,700€,41.993825,21.436139,3,61m²,Струја,3кат,ВоЗграда,Реновиран,Полунаместен,Не,,1Тераса,1,Да,1Паркинг,Запад,улБлагојаПаровиќ-Топанско,2018
7,По договор,41.9870695865131,21.4519291484375,3,86m²,Централно,5кат,ВоЗграда,Реновиран,Наместен,Не,1980,3Балкони,1,Да,1Паркинг,Север,Маџари-Хиподром,2018
8,1€,41.9870695865131,21.4519291484375,1,36m²,Струја,1кат,ВоЗграда,Реновиран,Наместен,Да,,1Балкон,1,Да,1Паркинг,Исток,Рузвелтова51-II-10,
9,69999€,42.009423,20.971549,3,80m²,Друго,4кат,ВоЗграда,Нов,Наместен,Не,,1Балкон,1,Не,1Паркинг,Запад,VoblizinanaOsnovenSudTetovo,
10,По договор,42.003425,21.463615,3,72m²,Централно,Приземје,ВоЗграда,Стар,Полунаместен,Не,1980,1Тераса,1,Да,Повеќеод3паркингместа,Југ,ТашкоКараџа,2010
11,57500€,42.009423,20.971549,3,70m²,Друго,4кат,ВоЗграда,Нов,Празен,Не,,Нема,1,Да,1Паркинг,Југ,Centar,
12,1€,41.111733,20.798579,25,52m²,Друго,1кат,ВоЗграда,Реновиран,Полунаместен,Не,2013,1Тераса,1,Да,1Паркинг,Југозапад,RasadnikOhrid,2018
13,999МКД,41.978187,21.427388,15,35m²,Струја,2кат,ВоЗграда,Реновиран,Наместен,Не,2009,1Балкон,1,Не,1Паркинг,Југоисток,Krstemisirkov76,2019
14,22000€,41.745515,22.19396,4,51m²,Нема,Приземје,ВоЗграда,Стар,Празен,Не,,1Балкон,1,Да,1Гаража,Исток,Sutjenska,
15,29000€,42.013646,21.32586,1,33m²,Нема,5кат,ВоЗграда,Реновиран,Наместен,Не,,1Балкон,1,Да,1Паркинг,Север,GjORCEPETROV,
16,85000€,41.978187,21.427388,3,66m²,Централно,2кат,ВоЗграда,Стар,Наместен,Не,,1Балкон,1,Не,Нема,Север,CENTAR,
