,Цена,Латитуда,Лонгитуда,Бројнасоби,Квадратура,Бројнаспратови,Греење,Дворнаповршина,Типнадомот,Состојба,Опрема,Бројнабалкони,Бројнабањи,Подрум,Бројнапаркинг/гаража,Ориентација,Годинанаградба,Адреса,Годинанареновирање
0,27000€,41.14712,22.507161,4,130m²,1спрат,Нема,360m²,Останато,Воградба,Празен,1Балкон,2,Не,1Паркинг,Исток,,,
1,155000€,41.9870695865131,21.4519291484375,4,300m²,3спрата,Централно,400m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,Тераса+1Балкон,2,Да,2Паркингместа,Југозапад,2006,,
2,1€,41.715954,21.770997,4,270m²,2спрата,Дрва,2001m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,Тераса+1Балкон,1,Да,2Паркингместа,Југ,,KostadinBodinbr66,
3,90000€,42.00877,21.45126,4,102m²,Високоприземје,Струја,600m²,Дуплекс-Лепенакуќа,Реновирана,Наместен,1Тераса,2,Да,2Паркингместа,Исток,,Cento,
4,1€,41.715954,21.770997,7,180m²,2спрата,Струја,20m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,1Балкон,2,Не,1Гаража,Запад,,ArhiepiskopMihail112,
5,1€,41.978187,21.427388,5,120m²,Приземје,Друго,380m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,2Балкони,2,Да,1Паркинг,Исток,2004,Lovkenska,2005
6,1МКД,41.9870695865131,21.4519291484375,2,85m²,Високоприземје,Струја,350m²,Дуплекс-Лепенакуќа,Реновирана,Луксузен,1Балкон,1,Да,3Паркингместа,Запад,1997,blagojagojan,2012
7,1€,41.715954,21.770997,10,450m²,3спрата,Нема,2000m²,Мултисемејнакуќа,Нова,Празен,3Балкони,3,Не,1Гаража,Исток,,НаселбаДорутовец,
8,1€,41.111733,20.798579,9,300m²,2спрата,Дрва,130m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,2Балкони,2,Да,Гаража+1Паркинг,Северозапад,,,
9,77000€,41.111733,20.798579,25,125m²,Приземје,Струја,1300m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,1Балкон,1,Да,3Паркингместа,Југ,2015,,
