,Цена,Латитуда,Лонгитуда,Бројнасоби,Квадратура,Бројнаспратови,Греење,Дворнаповршина,Типнадомот,Состојба,Опрема,Бројнабалкони,Бројнабањи,Подрум,Бројнапаркинг/гаража,Ориентација,Годинанаградба,Годинанареновирање,Адреса
0,1€,41.221826,21.207874,7,300m²,3спрата,Нема,100m²,Останато,Воградба,Празен,2Балкони,2,Да,1Паркинг,Југозапад,,,
1,160000€,41.9870695865131,21.4519291484375,6,145m²,2спрата,Струја,415m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,1Балкон,2,Да,2Паркингместа,Североисток,2005,2019,Pripor
2,175000€,41.240371,20.592708,5,197m²,2спрата,Дрва,65m²,Вила,Реновирана,Наместен,Нема,2,Да,Нема,Југоисток,1882,2008,Вевчани
3,1€,42.132926,21.715878,4,285m²,2спрата,Струја,861m²,Еднасемејнакуќа-Самостојна,Нова,Празен,2Балкони,2,Да,1Гаража,Исток,,,
4,85000€,41.111733,20.798579,3,118m²,Приземје,Струја,1275m²,Еднасемејнакуќа-Самостојна,Нова,Празен,1Балкон,1,Не,Гаража+2Паркингместа,Југозапад,,,Охрид
5,155000€,41.9870695865131,21.4519291484375,3,70m²,Високоприземје,Струја,880m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,Нема,1,Да,Гаража+Повеќеод4паркингместа,Југоисток,1958,1970,RafajloBatino22
6,1€,41.9741831116665,21.4692941470078,5,185m²,2спрата,Струја,300m²,Еднасемејнакуќа-Самостојна,Нова,Празен,1Тераса,3,Не,4Паркингместа,Југоисток,2021,,IlijaDimovski6b
7,8000МКД,41.1359699561422,22.4948872115478,1,40m²,Приземје,Струја,100m²,Мултисемејнакуќа,Нова,Наместен,Нема,1,Не,4Паркингместа,Североисток,2005,2015,МоинскипатббГевгелија(добившакасарна)
8,77000€,41.3483968787251,21.559056952889,7,205m²,Приземје,Дрва,75m²,Двo-семејнакуќа,Стара,Полунаместен,1Балкон,1,Да,3Паркингместа,Северозапад,1970,1990,ул11Октомврибр75
9,90000€,41.9870695865131,21.4519291484375,45,97m²,1спрат,Дрва,31m²,Еднасемејнакуќа-Самостојна,Реновирана,Полунаместен,2Балкони,1,Да,2Паркингместа,Исток,1990,2020,Мариовска54
10,160000€,41.111733,20.798579,6,150m²,Високоприземје,Дрва,430m²,Еднасемејнакуќа-Самостојна,Реновирана,Полунаместен,1Балкон,1,Да,2Паркингместа,Северозапад,,,ohrid
11,1МКД,41.9870695865131,21.4519291484375,8,342m²,3спрата,Дрва,321m²,Еднасемејнакуќа-Самостојна,Нова,Наместен,Повеќеод5балкони,3,Да,3Паркингместа,Југоисток,,,SvetiNikole
12,12000€,42.132926,21.715878,25,80m²,Високоприземје,Дрва,2000m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Балкон,1,Да,Повеќеод4паркингместа,Југ,1976,1976,селоТромеѓа
13,30000€,41.865485,21.940845,3,120m²,2спрата,Друго,120m²,Дуплекс-Лепенакуќа,Стара,Празен,1Тераса,1,Не,1Паркинг,Југ,1976,2000,КрстеМисирков
14,1€,41.745515,22.19396,7,140m²,2спрата,Дрва,70m²,Дуплекс-Лепенакуќа,Реновирана,Наместен,1Балкон,2,Да,2Паркингместа,Југ,1976,2020,AntonPanov47
15,35000€,42.1949434142987,22.3357076570392,3,80m²,Приземје,Дрва,743m²,Еднасемејнакуќа-Самостојна,Нова,Празен,2Балкони,1,Да,Нема,Југ,,,
16,75000€,41.9741502885644,21.4690620680061,3,70m²,Приземје,Струја,40m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,2Балкони,1,Не,2Паркингместа,Исток,2010,2020,IlijaDimovskiGoche
17,90000€,41.14712,22.507161,9,300m²,2спрата,Струја,400m²,Мултисемејнакуќа,Реновирана,Наместен,2Балкони,2,Не,2Паркингместа,Исток,2000,2010,ulNova
18,1МКД,41.1145380872683,20.8107662200928,6,78m²,2спрата,Струја,330m²,,,,,,,,,,,
19,70000€,41.031728,21.329358,6,160m²,2спрата,Дрва,150m²,Двo-семејнакуќа,Стара,Празен,1Тераса,2,Да,1Гаража,Југозапад,1975,1975,Центар
20,165000€,42.0084730716915,21.3334144279361,8,180m²,2спрата,Дрва,250m²,Двo-семејнакуќа,Нова,Наместен,2Балкони,2,Да,3Паркингместа,Југозапад,2007,2014,ulpanajotginovski
21,65000€,41.9870695865131,21.4519291484375,10,166m²,2спрата,Дрва,59m²,Двo-семејнакуќа,Реновирана,Наместен,Тераса+1Балкон,2,Да,2Паркингместа,Југозапад,,,9Ноемврибр20(кајстаритефурни)
22,45900€,41.111733,20.798579,5,148m²,2спрата,Друго,356m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,1Балкон,1,Не,3Паркингместа,Запад,,,ohrid
23,По договор,41.440569,22.639528,6,120m²,2спрата,Друго,361m²,Еднасемејнакуќа-Самостојна,Нова,Празен,2Балкони,2,Не,Повеќеод4паркингместа,Југ,,,Добрејци
24,По договор,41.801881,20.913259,3,220m²,4спрата,Друго,618m²,Мултисемејнакуќа,Воградба,Наместен,1Балкон,1,Да,Повеќеод4паркингместа,Југоисток,,,GoceDelcev35
25,145000€,41.949632,21.502494,4,90m²,Приземје,Струја,300m²,Дуплекс-Лепенакуќа,Реновирана,Наместен,Нема,1,Да,1Гаража,Југоисток,,,
26,1€,41.43085452425,22.6393890380859,10,200m²,2спрата,Дрва,350m2m²,,,,,,,,,,,
27,37000€,41.9421737845355,21.6060877042465,3,121m²,2спрата,Дрва,500m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,1Балкон,1,Не,1Гаража,Исток,,,Улица2број7
28,95000€,41.111733,20.798579,6,200m²,2спрата,Друго,238m²,Еднасемејнакуќа-Самостојна,Реновирана,Полунаместен,2Балкони,1,Не,2Паркингместа,Југоисток,,,ohrid
29,68000€,41.9963411060767,21.511723566314,3,107m²,2спрата,Дрва,206m²,Еднасемејнакуќа-Самостојна,Реновирана,Празен,2Балкони,2,Да,1Гаража,Исток,,,ulZhanZhoresbr117/10ASkopje
30,65000€,41.031728,21.329358,4,100m²,2спрата,Централно,256m²,Дуплекс-Лепенакуќа,Реновирана,Полунаместен,2Балкони,2,Да,2Паркингместа,Југоисток,1963,2019,SterjovskiGjorgiDzodza10
31,По договор,41.031728,21.329358,10,176m²,2спрата,Струја,152m²,Двo-семејнакуќа,Реновирана,Полунаместен,Тераса+4Балкони,3,Да,1Гаража,Исток,,,
32,20€,42.00877,21.45126,2,80m²,Приземје,Струја,4000m²,Мултисемејнакуќа,Стара,Полунаместен,1Тераса,1,Да,2Паркингместа,Југозапад,1999,2005,селојурумлерископско
